file_id	image_path	segmented_path	species	source
55821	dataset/images/lab/acer_campestre/ny1079-01-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-1.png	Acer campestre	lab
55822	dataset/images/lab/acer_campestre/ny1079-01-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-2.png	Acer campestre	lab
55823	dataset/images/lab/acer_campestre/ny1079-01-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-3.png	Acer campestre	lab
55824	dataset/images/lab/acer_campestre/ny1079-01-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-01-4.png	Acer campestre	lab
55825	dataset/images/lab/acer_campestre/ny1079-02-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-1.png	Acer campestre	lab
55826	dataset/images/lab/acer_campestre/ny1079-02-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-2.png	Acer campestre	lab
55827	dataset/images/lab/acer_campestre/ny1079-02-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-3.png	Acer campestre	lab
55828	dataset/images/lab/acer_campestre/ny1079-02-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-02-4.png	Acer campestre	lab
55829	dataset/images/lab/acer_campestre/ny1079-03-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-1.png	Acer campestre	lab
55830	dataset/images/lab/acer_campestre/ny1079-03-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-2.png	Acer campestre	lab
55831	dataset/images/lab/acer_campestre/ny1079-03-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-3.png	Acer campestre	lab
55832	dataset/images/lab/acer_campestre/ny1079-03-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-03-4.png	Acer campestre	lab
55833	dataset/images/lab/acer_campestre/ny1079-04-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-1.png	Acer campestre	lab
55834	dataset/images/lab/acer_campestre/ny1079-04-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-2.png	Acer campestre	lab
55835	dataset/images/lab/acer_campestre/ny1079-04-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-3.png	Acer campestre	lab
55836	dataset/images/lab/acer_campestre/ny1079-04-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-04-4.png	Acer campestre	lab
55837	dataset/images/lab/acer_campestre/ny1079-05-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-1.png	Acer campestre	lab
55838	dataset/images/lab/acer_campestre/ny1079-05-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-2.png	Acer campestre	lab
55839	dataset/images/lab/acer_campestre/ny1079-05-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-3.png	Acer campestre	lab
55840	dataset/images/lab/acer_campestre/ny1079-05-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-05-4.png	Acer campestre	lab
55841	dataset/images/lab/acer_campestre/ny1079-06-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-1.png	Acer campestre	lab
55842	dataset/images/lab/acer_campestre/ny1079-06-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-2.png	Acer campestre	lab
55843	dataset/images/lab/acer_campestre/ny1079-06-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-3.png	Acer campestre	lab
55844	dataset/images/lab/acer_campestre/ny1079-06-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-06-4.png	Acer campestre	lab
55845	dataset/images/lab/acer_campestre/ny1079-07-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-1.png	Acer campestre	lab
55846	dataset/images/lab/acer_campestre/ny1079-07-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-2.png	Acer campestre	lab
55847	dataset/images/lab/acer_campestre/ny1079-07-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-3.png	Acer campestre	lab
55848	dataset/images/lab/acer_campestre/ny1079-07-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-07-4.png	Acer campestre	lab
55849	dataset/images/lab/acer_campestre/ny1079-08-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-1.png	Acer campestre	lab
55850	dataset/images/lab/acer_campestre/ny1079-08-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-2.png	Acer campestre	lab
55851	dataset/images/lab/acer_campestre/ny1079-08-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-3.png	Acer campestre	lab
55852	dataset/images/lab/acer_campestre/ny1079-08-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-08-4.png	Acer campestre	lab
55853	dataset/images/lab/acer_campestre/ny1079-09-1.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-1.png	Acer campestre	lab
55854	dataset/images/lab/acer_campestre/ny1079-09-2.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-2.png	Acer campestre	lab
55855	dataset/images/lab/acer_campestre/ny1079-09-3.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-3.png	Acer campestre	lab
55856	dataset/images/lab/acer_campestre/ny1079-09-4.jpg	dataset/segmented/lab/acer_campestre/ny1079-09-4.png	Acer campestre	lab
55857	dataset/images/lab/acer_campestre/ny1080-01-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-1.png	Acer campestre	lab
55858	dataset/images/lab/acer_campestre/ny1080-01-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-2.png	Acer campestre	lab
55859	dataset/images/lab/acer_campestre/ny1080-01-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-3.png	Acer campestre	lab
55860	dataset/images/lab/acer_campestre/ny1080-01-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-01-4.png	Acer campestre	lab
55861	dataset/images/lab/acer_campestre/ny1080-02-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-1.png	Acer campestre	lab
55862	dataset/images/lab/acer_campestre/ny1080-02-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-2.png	Acer campestre	lab
55863	dataset/images/lab/acer_campestre/ny1080-02-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-3.png	Acer campestre	lab
55864	dataset/images/lab/acer_campestre/ny1080-02-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-02-4.png	Acer campestre	lab
55865	dataset/images/lab/acer_campestre/ny1080-03-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-1.png	Acer campestre	lab
55866	dataset/images/lab/acer_campestre/ny1080-03-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-2.png	Acer campestre	lab
55868	dataset/images/lab/acer_campestre/ny1080-03-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-3.png	Acer campestre	lab
55870	dataset/images/lab/acer_campestre/ny1080-03-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-03-4.png	Acer campestre	lab
55872	dataset/images/lab/acer_campestre/ny1080-04-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-1.png	Acer campestre	lab
55874	dataset/images/lab/acer_campestre/ny1080-04-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-2.png	Acer campestre	lab
55876	dataset/images/lab/acer_campestre/ny1080-04-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-3.png	Acer campestre	lab
55879	dataset/images/lab/acer_campestre/ny1080-04-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-04-4.png	Acer campestre	lab
55881	dataset/images/lab/acer_campestre/ny1080-05-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-05-1.png	Acer campestre	lab
55882	dataset/images/lab/acer_campestre/ny1080-05-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-05-2.png	Acer campestre	lab
55884	dataset/images/lab/acer_campestre/ny1080-05-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-05-3.png	Acer campestre	lab
55886	dataset/images/lab/acer_campestre/ny1080-05-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-05-4.png	Acer campestre	lab
55888	dataset/images/lab/acer_campestre/ny1080-06-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-06-1.png	Acer campestre	lab
55891	dataset/images/lab/acer_campestre/ny1080-06-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-06-2.png	Acer campestre	lab
55892	dataset/images/lab/acer_campestre/ny1080-06-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-06-3.png	Acer campestre	lab
55894	dataset/images/lab/acer_campestre/ny1080-06-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-06-4.png	Acer campestre	lab
55896	dataset/images/lab/acer_campestre/ny1080-07-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-07-1.png	Acer campestre	lab
55898	dataset/images/lab/acer_campestre/ny1080-07-2.jpg	dataset/segmented/lab/acer_campestre/ny1080-07-2.png	Acer campestre	lab
55900	dataset/images/lab/acer_campestre/ny1080-07-3.jpg	dataset/segmented/lab/acer_campestre/ny1080-07-3.png	Acer campestre	lab
55902	dataset/images/lab/acer_campestre/ny1080-07-4.jpg	dataset/segmented/lab/acer_campestre/ny1080-07-4.png	Acer campestre	lab
55904	dataset/images/lab/acer_campestre/ny1080-08-1.jpg	dataset/segmented/lab/acer_campestre/ny1080-08-1.png	Acer campestre	lab
